Faculty,Position,Gender,Management,DBLP,Area,Unnamed: 6,Unnamed: 7,Unnamed: 8
Lau Chiew Tong,Associate Professor,M,N,https://dblp.uni-trier.de/pid/30/6609.html,Computer Networks,i,,
Francis Bu-Sung Lee,Associate Professor,M,N,https://dblp.uni-trier.de/pers/l/Lee:Bu=Sung.html,Computer Networks,,,
Li Fang Flora,Senior Lecturer,F,N,https://dblp.org/pers/f/Fang:Li.html,Computer Vision,,,
Li Mo,Associate Professor,M,N,https://dblp.org/pid/87/4982-1.html,Computer Networks,i,,
Li Yi,Assistant Professor,M,N,https://dblp.uni-trier.de/pid/59/871-8.html,Software Engg,i,,
Qianhui Liang,Lecturer,F,N,https://dblp.uni-trier.de/pers/l/Liang:Qianhui_Althea.html,AI/ML,,,
Lin Feng,Associate Professor,M,N,https://dblp.org/pid/75/2611-2.html,Bioinformatics,i,,
Lin Guosheng,Assistant Professor,M,N,https://dblp.org/pers/l/Lin:Guosheng.html,Computer Vision,,,
Shang-Wei Lin 0001,Assistant Professor,M,N,https://dblp.org/pid/55/4730-1.html,Software Engg,,,
Lin Weisi,Professor,M,N,https://dblp.uni-trier.de/pers/l/Lin:Weisi.html,Multimedia,,,
Liu Weichen,Assistant Professor,M,N,https://dblp.org/pers/l/Liu:Weichen.html,Computer Architecture,,,
Liu Yang,Professor,M,N,https://dblp.org/pid/51/3710-3.html,Software Engg,i,,
Loke Yuan Ren,Lecturer,M,N,https://dblp.org/pid/11/9550.html,Computer Vision,i,,
Long Cheng,Assistant Professor,M,N,https://dblp.org/pers/l/Long:Cheng.html,Data Mining,,,
Loy Chen Change,Associate Professor,M,N,https://dblp.uni-trier.de/pers/l/Loy:Chen_Change.html,Computer Vision,,,
Lu Shijian,Assistant Professor,M,N,https://dblp.uni-trier.de/pers/l/Lu:Shijian.html,Computer Vision,,,
Luo Jun,Associate Professor,M,N,https://dblp.uni-trier.de/pid/42/2501-1.html,Computer Networks,i,,
Mahardhika Pratama  ,Assistant Professor,M,N,https://dblp.org/pers/p/Pratama:Mahardhika.html,AI/ML,,,
Mohamed M. Sabry Aly,Assistant Professor,M,N,https://dblp.org/pers/s/Sabry:Mohamed_M=.html,Computer Architecture,,,
Ng Wee Keong,Associate Professor,M,N,https://dblp.org/pers/n/Ng:Wee_Keong.html,Cyber Security,,,
Oh Hong Lye,Lecturer,M,N,https://dblp.org/pers/o/Oh:Hong_Lye.html,Computer Architecture,,,
Owen Noel Newton Fernando,Senior Lecturer,M,N,https://dblp.uni-trier.de/pers/f/Fernando:Owen_Noel_Newton.html,HCI,,,
Pan Sinno Jialin,Associate Professor,M,N,https://dblp.org/pers/p/Pan:Sinno_Jialin.html,AI/ML,,,
Qian Kemao,Associate Professor,M,N,https://dblp.org/pers/q/Qian:Kemao.html,Computer Vision,,,
Chai Quek,Associate Professor,M,N,https://dblp.org/pers/q/Quek:Hiok_Chai.html,AI/ML,,,
Rajapakse Jagath Chandana,Professor,M,N,https://dblp.uni-trier.de/pers/r/Rajapakse:Jagath_C=.html,Bioinformatics,,,
Hock Soon Seah,Professor,M,Y,https://dblp.org/pers/s/Soon:Seah_Hock.html,Computer Graphics,,,
Smitha K. G.,Lecturer,F,N,https://dblp.uni-trier.de/pers/s/Smitha:Kavallur_Gopi.html,Computer Architecture,,,
Sourav S Bhowmick,Associate Professor,M,N,https://dblp.uni-trier.de/pid/b/SSBhowmick.html,Data Management,i,,
Sourav Sen Gupta,Lecturer,M,N,https://dblp.org/pers/g/Gupta:Sourav_Sen.html,Cyber Security,,,
Sun Aixin,Associate Professor,M,N,https://dblp.org/pers/s/Sun:Aixin.html,Information Retrieval,,,
Sun Chengzheng,Professor,M,N,https://dblp.org/pers/s/Sun:Chengzheng.html,HCI,,,
Tan Ah Hwee,Professor,M,Y,https://dblp.org/pers/t/Tan:Ah=Hwee.html,AI/ML,,,
Tan Kheng Leong,Lecturer,M,N,https://dblp.org/pid/242/0323.html,Cyber Security,i,,
Tan Rui,Assistant Professor,M,N,https://dblp.uni-trier.de/pers/t/Tan:Rui.html,Computer Architecture,,,
Tang Xueyan,Associate Professor,M,N,https://dblp.org/pers/t/Tang:Xueyan.html,Distributed Systems,,,
Chan Hua Vun,Associate Professor,M,N,https://dblp.org/pers/v/Vun:Nicholas_C=_H=.html,Computer Architecture,,,
Xavier Bresson,Associate Professor,M,N,https://dblp.uni-trier.de/pers/b/Bresson:Xavier.html,AI/ML,,,
Yeo Chai Kiat,Associate Professor,F,Y,https://dblp.org/pers/y/Yeo:Chai_Kiat.html,Computer Networks,,,
Yu Han,Assistant Professor,M,N,https://dblp.org/pid/35/1096-1.html,AI/ML,i,,
Zhang Hanwang,Assistant Professor,M,N,https://dblp.org/pers/z/Zhang:Hanwang.html,Computer Vision,,,
Zhang Jie,Associate Professor,M,N,https://dblp.uni-trier.de/pid/84/6889-2.html,AI/ML,i,,
Zhao Jun,Assistant Professor,M,N,https://dblp.uni-trier.de/pid/47/2026-7.html,Computer Networks,,,
Zheng Jianmin,Associate Professor,M,N,https://dblp.uni-trier.de/pers/z/Zheng:Jianmin.html,Computer Graphics,,,
Zinovi Rabinovich  ,Assistant Professor,M,N,https://dblp.org/pers/r/Rabinovich:Zinovi.html,AI/ML,,,
Chun Yan Miao,Professor,F,Y,https://dblp.uni-trier.de/pers/m/Miao:Chunyan.html,AI/ML,,,
Srikanthan Thambipillai,Professor,M,Y,https://dblp.uni-trier.de/pers/s/Srikanthan:Thambipillai.html,Computer Architecture,,,
Ong Yew Soon,Professor,M,Y,https://dblp.uni-trier.de/pers/o/Ong:Yew=Soon.html,AI/ML,,,
Shen Zhiqi,Senior Lecturer,M,N,https://dblp.uni-trier.de/pid/03/1554.html,AI/ML,i,,
Tay Kian Boon,Senior Lecturer,M,N,https://dblp.uni-trier.de/pid/36/9306.html,Cyber Security,i,,
Wen Yonggang,Professor,M,N,https://dblp.org/pid/33/885.html,Multimedia,,,
Zhang Tianwei,Assistant Professor,M,N,https://dblp.uni-trier.de/pid/77/7902.html,Cyber Security,i,,
Boyang Li,Associate Professor,M,N,https://dblp.org/pid/70/1211.html,AI/ML,,,
Liu Zhiwei,Assistant Professor,M,N,https://dblp.org/pid/90/9499.html,Computer Vision,,,
Luu Anh Tuan,Assistant Professor,M,N,https://dblp.org/pid/81/8329.html,AI/ML,,,
